Question No.,L1,L2,L3,L4,Label,Title,Body,Gemini_Pred
43849874,Advanced,Advanced,Advanced,Advanced,Advanced,How to print a text file using WiFi Direct,"I have a working Android app that displays user stats. I want to send a small report with plain text format (.txt) to a WiFi  Direct printer. I have downloaded the sample
demo
app from Android. I did the proper modification in order to look for .txt file. But I don't understand why my code is not working. After selecting the file I want to print, nothing happens.
The current configuration for my EPSON printer bellow.
Wi-Fi Direct Mode : On
Communication Mode: AP
Operation    Mode: IEEE802.11g/n
Communication Speed: Auto
SSID: DIRECT-D3A36C54
Channel: 7
Security Level: WPA2-PSK(AES)
Link Status: Unknown
This is the DeviceDetailFragment class
public class DeviceDetailFragment extends Fragment implements WifiP2pManager.ConnectionInfoListener {
    protected static final int CHOOSE_FILE_RESULT_CODE = 20;
    private View mContentView = null;
    private WifiP2pDevice device;
    private WifiP2pInfo info;
    ProgressDialog progressDialog = null;
    @Override
    public void onActivityCreated(Bundle savedInstanceState) {
        super.onActivityCreated(savedInstanceState);
    }
    @Override
    public View onCreateView(LayoutInflater inflater, ViewGroup container, Bundle savedInstanceState) {
        mContentView = inflater.inflate(R.layout.device_detail, null);
        mContentView.findViewById(R.id.btn_connect).setOnClickListener(new View.OnClickListener() {
            @Override
            public void onClick(View v) {
                WifiP2pConfig config = new WifiP2pConfig();
                config.deviceAddress = device.deviceAddress;
                config.wps.setup = WpsInfo.LABEL;
                config.wps.pin = ""12345677"";
//                config.groupOwnerIntent = 15;
                if (progressDialog != null && progressDialog.isShowing()) {
                    progressDialog.dismiss();
                }
                progressDialog = ProgressDialog.show(getActivity(), ""Press back to cancel"",
                        ""Connecting to :"" + device.deviceAddress, true, true
//                        new DialogInterface.OnCancelListener() {
//
//                            @Override
//                            public void onCancel(DialogInterface dialog) {
//                                ((DeviceActionListener) getActivity()).cancelDisconnect();
//                            }
//                        }
                );
                ((DeviceListFragment.DeviceActionListener) getActivity()).connect(config);
            }
        });
        mContentView.findViewById(R.id.btn_disconnect).setOnClickListener(
                new View.OnClickListener() {
                    @Override
                    public void onClick(View v) {
                        ((DeviceListFragment.DeviceActionListener) getActivity()).disconnect();
                    }
                });
        mContentView.findViewById(R.id.btn_start_client).setOnClickListener(
                new View.OnClickListener() {
                    @Override
                    public void onClick(View v) {
                        // Allow user to pick a text file from storage or other
                        // registered apps
                        Intent intent = new Intent(Intent.ACTION_GET_CONTENT);
                        intent.setType(""text/*"");
//                        intent.setType(""image/*"");
                        startActivityForResult(intent, CHOOSE_FILE_RESULT_CODE);
                    }
                });
        return mContentView;
    }
    @Override
    public void onActivityResult(int requestCode, int resultCode, Intent data) {
        // User has picked a text file. Transfer it to group owner i.e peer using
        // FileTransferService.
        Uri uri = data.getData();
        TextView statusText = (TextView) mContentView.findViewById(R.id.status_text);
        statusText.setText(""Sending: "" + uri);
        Log.d(WiFiDirectActivity.TAG, ""Intent----------- "" + uri);
        Intent serviceIntent = new Intent(getActivity(), FileTransferService.class);
        serviceIntent.setAction(FileTransferService.ACTION_SEND_FILE);
        serviceIntent.putExtra(FileTransferService.EXTRAS_FILE_PATH, uri.toString());
        serviceIntent.putExtra(FileTransferService.EXTRAS_GROUP_OWNER_ADDRESS,
                info.groupOwnerAddress.getHostAddress());
        serviceIntent.putExtra(FileTransferService.EXTRAS_GROUP_OWNER_PORT, 8315); //631
        getActivity().startService(serviceIntent);
    }
    @Override
    public void onConnectionInfoAvailable(final WifiP2pInfo info) {
        if (progressDialog != null && progressDialog.isShowing()) {
            progressDialog.dismiss();
        }
        this.info = info;
        this.getView().setVisibility(View.VISIBLE);
        // The owner IP is now known.
        TextView view = (TextView) mContentView.findViewById(R.id.group_owner);
        view.setText(getResources().getString(R.string.group_owner_text)
                + ((info.isGroupOwner == true) ? getResources().getString(R.string.yes)
                : getResources().getString(R.string.no)));
        // InetAddress from WifiP2pInfo struct.
        view = (TextView) mContentView.findViewById(R.id.device_info);
        view.setText(""Group Owner IP - "" + info.groupOwnerAddress.getHostAddress());
        // After the group negotiation, we assign the group owner as the file
        // server. The file server is single threaded, single connection server
        // socket.
        if (info.groupFormed && info.isGroupOwner) {
            new FileServerAsyncTask(getActivity(), mContentView.findViewById(R.id.status_text))
                    .execute();
        } else if (info.groupFormed) {
            // The other device acts as the client. In this case, we enable the
            // get file button.
            mContentView.findViewById(R.id.btn_start_client).setVisibility(View.VISIBLE);
            ((TextView) mContentView.findViewById(R.id.status_text)).setText(getResources()
                    .getString(R.string.client_text));
        }
        // hide the connect button
        mContentView.findViewById(R.id.btn_connect).setVisibility(View.GONE);
    }
    /**
     * Updates the UI with device data
     *
     * @param device the device to be displayed
     */
    public void showDetails(WifiP2pDevice device) {
        this.device = device;
        this.getView().setVisibility(View.VISIBLE);
        TextView view = (TextView) mContentView.findViewById(R.id.device_address);
        view.setText(device.deviceAddress);
        view = (TextView) mContentView.findViewById(R.id.device_info);
        view.setText(device.toString());
    }
    /**
     * Clears the UI fields after a disconnect or direct mode disable operation.
     */
    public void resetViews() {
        mContentView.findViewById(R.id.btn_connect).setVisibility(View.VISIBLE);
        TextView view = (TextView) mContentView.findViewById(R.id.device_address);
        view.setText(R.string.empty);
        view = (TextView) mContentView.findViewById(R.id.device_info);
        view.setText(R.string.empty);
        view = (TextView) mContentView.findViewById(R.id.group_owner);
        view.setText(R.string.empty);
        view = (TextView) mContentView.findViewById(R.id.status_text);
        view.setText(R.string.empty);
        mContentView.findViewById(R.id.btn_start_client).setVisibility(View.GONE);
        this.getView().setVisibility(View.GONE);
    }
    /**
     * A simple server socket that accepts connection and writes some data on
     * the stream.
     */
    public static class FileServerAsyncTask extends AsyncTask<Void, Void, String> {
        private Context context;
        private TextView statusText;
        /**
         * @param context
         * @param statusText
         */
        public FileServerAsyncTask(Context context, View statusText) {
            this.context = context;
            this.statusText = (TextView) statusText;
        }
        @Override
        protected String doInBackground(Void... params) {
            try {
                ServerSocket serverSocket = new ServerSocket(8315); //631
                Log.d(WiFiDirectActivity.TAG, ""Server: Socket opened"");
                Socket client = serverSocket.accept();

                Log.d(WiFiDirectActivity.TAG, ""Server: connection done"");
//                final File f = new File(Environment.getExternalStorageDirectory() + ""/""
//                        + context.getPackageName() + ""/wifip2pshared-"" + System.currentTimeMillis()
//                        + "".txt"");


                final File f = new File(Environment.getExternalStorageDirectory() + ""/""
                        + context.getPackageName() + ""/wifip2pshared-"" + "".txt"");
                File dirs = new File(f.getParent());
                if (!dirs.exists())
                    dirs.mkdirs();
                f.createNewFile();
                Log.d(WiFiDirectActivity.TAG, ""server: copying files "" + f.toString());
                InputStream inputstream = client.getInputStream();
                copyFile(inputstream, new FileOutputStream(f));
                serverSocket.close();
                return f.getAbsolutePath();
            } catch (IOException e) {
                Log.e(WiFiDirectActivity.TAG, e.getMessage());
                return null;
            }
        }
        /*
         * (non-Javadoc)
         * @see android.os.AsyncTask#onPostExecute(java.lang.Object)
         */
        @Override
        protected void onPostExecute(String result) {
            if (result != null) {
                statusText.setText(""File copied - "" + result);
//                Log.e(""...File copied - "", result);
                Intent intent = new Intent();
                intent.setAction(android.content.Intent.ACTION_VIEW);
                intent.setDataAndType(Uri.parse(""file://"" + result), ""text/*"");
                context.startActivity(intent);
            } else {
                Log.e(""File copied is NULL- "", result);
            }
        }
        /*
         * (non-Javadoc)
         * @see android.os.AsyncTask#onPreExecute()
         */
        @Override
        protected void onPreExecute() {
            statusText.setText(""Opening a server socket"");
        }
    }
    public static boolean copyFile(InputStream inputStream, OutputStream out) {
        byte buf[] = new byte[1024];
        int len;
        try {
            while ((len = inputStream.read(buf)) != -1) {
                out.write(buf, 0, len);
            }
            out.close();
            inputStream.close();
        } catch (IOException e) {
            Log.d(WiFiDirectActivity.TAG, e.toString());
            return false;
        }
        return true;
    }
}
EDIT #1
This is my permission setting
<uses-permission android:name=""android.permission.ACCESS_WIFI_STATE"" />
<uses-permission android:name=""android.permission.CHANGE_WIFI_STATE"" />
<uses-permission android:name=""android.permission.CHANGE_NETWORK_STATE"" />
<uses-permission android:name=""android.permission.INTERNET"" />
<uses-permission android:name=""android.permission.ACCESS_NETWORK_STATE"" />
<uses-permission android:name=""android.permission.READ_PHONE_STATE"" />
<uses-permission android:name=""android.permission.WRITE_EXTERNAL_STORAGE"" />
<uses-permission android:name=""android.permission.BIND_PRINT_SERVICE"" />
<uses-permission android:name=""android.permission.READ_EXTERNAL_STORAGE"" />
After connecting to the printer, I've got the UI to select the file, after I select it, nothing happens, I just got the below console output (the file I am picking up is located in the SD card)
05-17 10:39:50.994 28659-28659/com.example.ccano.wifidirect       E/ViewRootImpl: sendUserActionEvent() mView == null
05-17    10:39:52.314 28659-28659/com.example.ccano.wifidirect    D/ViewRootImpl:    ViewPostImeInputStage processPointer 0
05-17 10:39:52.384    28659-28659/com.example.ccano.wifidirect    D/ViewRootImpl:    ViewPostImeInputStage processPointer 1
05-17 10:39:56.484    28659-28659/com.example.ccano.wifidirect    D/wifidirectdemo:    Intent-----------
content://com.android.externalstorage.documents/document/9C33-6BBD%3Asample_file.txt
05-17 10:39:56.514 28659-28659/com.example.ccano.wifidirect       D/wifidirectdemo: P2P state changed - 2
05-17 10:39:56.514    28659-29309/com.example.ccano.wifidirect    D/wifidirectdemo: Opening    client socket -
05-17 10:39:56.514    28659-28659/com.example.ccano.wifidirect    D/wifidirectdemo: Peer    status :0
05-17 10:39:56.524 28659-29309/com.example.ccano.wifidirect       D/wifidirectdemo: Client socket - true
05-17 10:39:56.524    28659-29309/com.example.ccano.wifidirect    E/ccano..copyfile: true
05-17 10:39:56.524 28659-29309/com.example.ccano.wifidirect       D/wifidirectdemo: Client: Data written
05-17 10:39:56.534    28659-28659/com.example.ccano.wifidirect    I/Timeline: Timeline:    Activity_idle id:
android.os.BinderProxy@75dd5e time:4602644
05-17    10:41:01.714 28659-28659/com.example.ccano.wifidirect    D/ViewRootImpl:    ViewPostImeInputStage processPointer 0
05-17 10:41:01.774    28659-28659/com.example.ccano.wifidirect    D/ViewRootImpl:    ViewPostImeInputStage processPointer 1
05-17 10:41:02.564    28659-28659/com.example.ccano.wifidirect    D/wifidirectdemo: P2P peers    changed
05-17 10:41:02.574 28659-28659/com.example.ccano.wifidirect       D/wifidirectdemo: Peer status :3
05-17 10:41:02.594    28659-28659/com.example.ccano.wifidirect    D/wifidirectdemo: No devices    found
EDIT #2
After adding the below line into my manifiest, still I am getting same result, nothing happens.
<uses-permission android:name=""android.permission.READ_EXTERNAL_STORAGE"" />
Edit #3
After changing WpsInfo.Label to WpsInfo.PBC now, I am getting a different output on the debugger console. (see screen shot below). But, still I the printer is not sending the print job.",Advanced
43852703,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Multilevel static nested class producing wrong output,"When following code is run it prints
""X.Q""
instead of
""A<T>.X.Q""
as required by the language specification.
class A<T> {
    static class X {
        static class Q {
            public static void main() {
                System.out.println(""A<T>.X.Q"");
            }
        }
    }
}

class B extends A<B.Y.Q> {
    static class Y extends X {
    } // X here is inherited from A
}

class X {
    static class Q {
        public static void main() {
            System.out.println(""X.Q"");
        }
    }
}

public class Test {
    public static void main(String[] args) {
        B.Y.Q.main();
    }
}
Can some one help me understand what will be the output of this program, as per my understanding it should be
""A<T>.X.Q""
instead of
""X.Q""
, Please correct me if i am mistaken some where",Intermediate
43860618,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Why is an ArrayList of ArrayLists not multidimensional?,"I recently appeared for an interview in which the interviewer asked me a question regarding
Arrays
and
ArrayList
.
He asked me if an array of arrays can be multidimensional, then why is an
ArrayList
of
ArrayList
's not multidimensional?
For example:
// Multidimensional
int[][] array = new int[m][n]; 

// Not multidimensional
ArrayList<ArrayList<Integer>> seq = new ArrayList<ArrayList<Integer>>();
Can anyone help me to understand this?",Intermediate
43860936,Advanced,Advanced,Advanced,Advanced,Advanced,Create objects in GenericObjectPool,"I'm doing research on
GenericObjectPool
by putting
Cipher
in pool so it can be reused.
GenericObjectPool<Cipher> pool;

CipherFactory factory = new CipherFactory(); 
this.pool = new GenericObjectPool<Cipher>(factory);
pool.setMaxTotal(10);
pool.setBlockWhenExhausted(true);
pool.setMaxWaitMillis(30 * 1000);
CipherFactory
public class CipherFactory extends BasePooledObjectFactory<Cipher> {

    private boolean running = false;

    @Override
    public Cipher create() throws Exception {
        return Cipher.getInstance(""DESede/CBC/NoPadding"");
    }

    @Override
    public PooledObject<Cipher> wrap(Cipher arg0) {
        return new DefaultPooledObject<Cipher>(arg0);
    }

    @Override
    public boolean validateObject(PooledObject<Cipher> p) {
        //Ensures that the instance is safe to be returned by the pool
        return true;
    }

    @Override
    public void destroyObject(PooledObject<Cipher> p) {
        //Destroys an instance no longer needed by the pool. 
        System.out.println(""destroying"");
    }

    @Override
    public void activateObject(PooledObject<Cipher> p) throws Exception { //Reinitialize an instance to be returned by the pool

        setRunning(true);
    }

    @Override
    public void passivateObject(PooledObject<Cipher> p) throws Exception {   // reset the object after the object returns to the pool

        setRunning(false);
    }

    public void setRunning(boolean running) {

        this.running = running;
    }
//    
}
This is how I implement
ObjectPool
in my
Example
class
public Key a(byte[] afyte) throws Exception {

        Cipher cipher = null;
        cipher = pool.borrowObject(); //get the object from the pool
        try {
            System.out.println(""****************** After borrow ****************"");
            printPool();
            cipher.init(Cipher.DECRYPT_MODE, mkkey, algParamSpec);
            byte[] de = cipher.doFinal(afyte);
            SecretKey mk = new SecretKeySpec(de, ""DESede"");
            return mk;
        } catch (Exception e) {
            pool.invalidateObject(cipher);
            cipher = null;
        } finally {
            if (null != cipher) {
                pool.returnObject(cipher);
                System.out.println(""****************** After return ****************"");
                printPool();
            }
        }
        return (Key) cipher;
    }
printPool
public void printPool() {
        System.out.println(""Pool for cipher with instances DESede/CBC/NoPadding"");
        System.out.println(""Active ["" + pool.getNumActive() + ""]""); //Return the number of instances currently borrowed from this pool
        System.out.println(""Idle ["" + pool.getNumIdle() + ""]""); //The number of instances currently idle in this pool
        System.out.println(""Total Created ["" + pool.getCreatedCount() + ""]"");      
    }
Am I on the right path ? Is it possible to increase pool size ?
Edit
The answer from @http works fine to me. But if I have another method
encryptECB(Key key, byte[] b)
, how should I write ?
Any help would be appreciated !",Advanced
43864005,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Is it allowed/adviseable to reuse a Collector?,"I have quite a lot spots in my code which do:
someStream.collect(Collectors.toList())
where
Collectors.toList()
creates a new collector on every use.
This leads me to the question if it is allowed and advisable to do something like:
private final static Collector<…> TO_LIST = Collectors.toList()
for every type I use and then make use of that single Collector like:
someStream.collect(TO_LIST)
when a collector is required.
As the collectors are stateless and just a collection of functions and characteristics, I should think it should work, but OTOH,
Collectors.toList()
creates a new
CollectorImpl<>
on every call.
What are the downsides of reusing a Collector?",Intermediate
43875137,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Spring Security login with Java and Angular2,"I am having some trouble integrating spring security (namely the login part) in my web application. My BackEnd is running on
localhost:8080
and the FrontEnd (Ionic 2 with AngularJS 2) is running on
localhost:8100
. I managed to log in (at least I think so) but the rest of the requests become unavailable and I get the following error in the Chrome Developer Console:
XMLHttpRequest cannot load http://localhost:8080/company/getAll. Response for preflight is invalid (redirect)
When testing with Postman it seems to be working, I log in and then I am able to perform POST requests on
http://localhost:8080/company/getAll
and everything works as intended.
Presumably I'm missing something (like a token) but can't figure out what. I am new to both Ionic and Spring Security so please forgive me if this is something trivial. I tried googling various tutorials but was unable to find anything (most of them were using JSP).
How could I get this to work? How should my requests from the frontend look like?
Here is my login method from the BackEnd controller:
@RequestMapping(value = ""/login"", method = RequestMethod.GET)
    @CrossOrigin(origins = ""*"")
    public ResponseEntity<GeneralResponse> login(Model model, String error, String logout) {
        System.out.println(""LOGIN""+model.toString());

        if (error != null) {
            System.out.println(""1.IF"");
            model.addAttribute(""error"", ""Your username and password is invalid."");
        }

        if (logout != null) {
            System.out.println(""2.IF"");
            model.addAttribute(""message"", ""You have been logged out successfully."");
        }

        return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(new GeneralResponse(true, ""FAILURE: Error""));
    }
This is my WebSecurityConfig:
@Configuration
@EnableWebSecurity
@ComponentScan(""com.SAB.service"")
public class WebSecurityConfig extends WebSecurityConfigurerAdapter {

    @Autowired
    private UserDetailsService userDetailsService;

    @Bean
    public BCryptPasswordEncoder bCryptPasswordEncoder() {
        return new BCryptPasswordEncoder();
    }

    @Override
    protected void configure(HttpSecurity http) throws Exception {
        http
            .authorizeRequests()
            .antMatchers(""/resources/**"", ""/registration"").permitAll()
            .anyRequest().authenticated()
            .and()
            .formLogin()
            .loginPage(""/user/login"")
            .permitAll()
            .and()
            .logout()
            .permitAll();
        http
            .csrf().disable();
        http.formLogin().defaultSuccessUrl(""http://localhost:8100/"", true);
        //.and().exceptionHandling().accessDeniedPage(""/403"")
        //.and().sessionManagement().maximumSessions(1).maxSessionsPreventsLogin(true);
    }

    @Autowired
    public void configureGlobal(AuthenticationManagerBuilder auth) throws Exception {
        auth.userDetailsService(userDetailsService).passwordEncoder(bCryptPasswordEncoder());
    }
}
And finally my FrontEnd code responsible for logging in:
login(){
    var body = 'username='+this.loginForm.controls['username'].value+'&password='+this.loginForm.controls['password'].value;
    var headers = new Headers();
    headers.append('Content-Type', 'application/x-www-form-urlencoded');
    //headers.append(""Access-Control-Allow-Origin"", ""*"");

    this.http
      .post('http://localhost:8080/user/login',
        body, {
          headers: headers
        })
      .subscribe(data => {
        console.log('ok');
        console.log(data)
      }, error => {
        console.log(JSON.stringify(error.json()));
      });
  }
If you require any additional details please let me know and I will provide them.
Thanks in advance!
I don't get the Access-COntroll-Origin error but I tried to change it according to the comments anyway and now I get a ""Invalid CORS request""
Request and Response Header for login from postman:
EDIT:
Here are the Spring Security logs. However Spring only registers a OPTIONS request and no POST even though the FrontEnd is calling POST.
************************************************************

Request received for OPTIONS '/login':

org.apache.catalina.connector.RequestFacade@18859793

servletPath:/login
pathInfo:null
headers: 
host: localhost:8080
connection: keep-alive
access-control-request-method: POST
origin: http://localhost:8100
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36
access-control-request-headers: access-control-allow-origin
accept: */*
referer: http://localhost:8100/
accept-encoding: gzip, deflate, sdch, br
accept-language: en-US,en;q=0.8


Security filter chain: [
  WebAsyncManagerIntegrationFilter
  SecurityContextPersistenceFilter
  HeaderWriterFilter
  CorsFilter
  LogoutFilter
  UsernamePasswordAuthenticationFilter
  RequestCacheAwareFilter
  SecurityContextHolderAwareRequestFilter
  AnonymousAuthenticationFilter
  SessionManagementFilter
  ExceptionTranslationFilter
  FilterSecurityInterceptor
]


************************************************************
2017-05-12 19:18:28.527 DEBUG 16500 --- [nio-8080-exec-1] o.s.security.web.FilterChainProxy        : /login at position 1 of 12 in additional filter chain; firing Filter: 'WebAsyncManagerIntegrationFilter'
2017-05-12 19:18:28.527 DEBUG 16500 --- [nio-8080-exec-1] o.s.security.web.FilterChainProxy        : /login at position 2 of 12 in additional filter chain; firing Filter: 'SecurityContextPersistenceFilter'
2017-05-12 19:18:28.527 DEBUG 16500 --- [nio-8080-exec-1] w.c.HttpSessionSecurityContextRepository : No HttpSession currently exists
2017-05-12 19:18:28.527 DEBUG 16500 --- [nio-8080-exec-1] w.c.HttpSessionSecurityContextRepository : No SecurityContext was available from the HttpSession: null. A new one will be created.
2017-05-12 19:18:28.529 DEBUG 16500 --- [nio-8080-exec-1] o.s.security.web.FilterChainProxy        : /login at position 3 of 12 in additional filter chain; firing Filter: 'HeaderWriterFilter'
2017-05-12 19:18:28.529 DEBUG 16500 --- [nio-8080-exec-1] o.s.security.web.FilterChainProxy        : /login at position 4 of 12 in additional filter chain; firing Filter: 'CorsFilter'
2017-05-12 19:18:28.541 DEBUG 16500 --- [nio-8080-exec-1] o.s.s.w.header.writers.HstsHeaderWriter  : Not injecting HSTS header since it did not match the requestMatcher org.springframework.security.web.header.writers.HstsHeaderWriter$SecureRequestMatcher@5baaaa2b
2017-05-12 19:18:28.541 DEBUG 16500 --- [nio-8080-exec-1] w.c.HttpSessionSecurityContextRepository : SecurityContext is empty or contents are anonymous - context will not be stored in HttpSession.
2017-05-12 19:18:28.541 DEBUG 16500 --- [nio-8080-exec-1] s.s.w.c.SecurityContextPersistenceFilter : SecurityContextHolder now cleared, as request processing completed
UPDATE:
So after adding the CORSFilter suggested in the accepted answer I also had to modify my requests in the frontend in order for the cookie with the JSESSIONID to be sent on each request. Bassically I had to add the following to ALL my reqquests:
let options = new RequestOptions({ headers: headers, withCredentials: true });",Intermediate
43887401,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,How generics in java works for the following program?,"public class Program {

    private static <Program> void foo(Program x){
        System.out.println(x+""-->1"");
    }

    private static void foo(final int i){
        System.out.println(i+""-->2"");
    }

    public static void main(String[] args) {
        Integer i = 10;
        foo(i);
    }

}
And the output is:
10-->1
I wasn't able to find any relevant discussion on this topic. However, the answer to a different topic confused me a little:-
Return Type of Java Generic Methods
According to them the generic
<Program>
has nothing to do with return type but in my case if I change a little to this program as below then the output is different.
public class Program {

    private static <Integer> void foo(Program x){
        System.out.println(x+""-->1"");
    }

    private static void foo(final int i){
        System.out.println(i+""-->2"");
    }

    public static void main(String[] args) {
        Integer i = 10;
        foo(i);
    }

}
Output:
10-->2
I am using JDK1.7",Intermediate
43895451,Intermediate,Basic,Basic,Basic,Basic,Add AspectJ in Webservice,"i have a Java EE Webservice (REST) and would now like to use AspectJ, to create a rule that will print-out every incoming service call and their params.
I just read this
tutorial
and implemented the following code:
POM.XML
<dependency>
        <groupId>org.aspectj</groupId>
        <artifactId>aspectjrt</artifactId>
        <version>1.8.10</version>
    </dependency>
    
    <dependency>
        <groupId>org.aspectj</groupId>
        <artifactId>aspectjweaver</artifactId>
        <version>1.8.10</version>
    </dependency>
    
</dependencies>
<build>
  <plugins>
    <plugin>
        <groupId>org.codehaus.mojo</groupId>
        <artifactId>aspectj-maven-plugin</artifactId>
        <version>1.7</version>
        <configuration>
            <complianceLevel>1.8</complianceLevel>
            <source>1.8</source>
            <target>1.8</target>
            <showWeaveInfo>true</showWeaveInfo>
            <verbose>true</verbose>
            <Xlint>ignore</Xlint>
            <encoding>UTF-8 </encoding>
        </configuration>
        <executions>
            <execution>
                <goals>
                    <!-- use this goal to weave all your main classes -->
                    <goal>compile</goal>
                    <!-- use this goal to weave all your test classes -->
                    <goal>test-compile</goal>
                </goals>
            </execution>
        </executions>
    </plugin>
</plugins>
...and created a Test.aj File, with a Pointcut which should print-out a teststring after calling the getSignOfLife():
import de.jack.businesspartner.service.BusinessPartnerServiceImpl;
public aspect TestAspectJ {

    pointcut getSignOfLife() : 
      call(void BusinessPartnerServiceImpl.getSignOfLife());

    before() : getSignOfLife() {
        System.err.println(""ADKL TEST ASPECT"");
    }

}
--> But nothing happens if i call the getSignOfLife() Method. Can you help me?",Basic
43901632,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Refactoring the creation of a variable number of planets in Java,"I have to assign a random amount of objects in this program, and currently the only way I know to do this is something like this:
if (star.returnZones() == 1) {
        this.createPlanet(planet1, star);
    }
    else if (star.returnZones() == 2) {
        this.createPlanet(planet1, star);
        this.createPlanet(planet2, star);
    }
    else if (star.returnZones() == 3) {
        this.createPlanet(planet1, star);
        this.createPlanet(planet2, star);
        this.createPlanet(planet3, star);
    }
    else if (star.returnZones() == 4) {
        this.createPlanet(planet1, star);
        this.createPlanet(planet2, star);
        this.createPlanet(planet3, star);
        this.createPlanet(planet4, star);
    }
    else if (star.returnZones() == 5) {
        this.createPlanet(planet1, star);
        this.createPlanet(planet2, star);
        this.createPlanet(planet3, star);
        this.createPlanet(planet4, star);
        this.createPlanet(planet5, star);
    }
I am sure this is a far more efficent way to do this, where each one does something along the lines of this. I will be using the term asAbovePlus to mean everything above, plus one more thing.
if (star.returnZones() == 1) {
    this.createPlanet(planet1, star);
}
else if (star.returnZones() == 2) {
    asAbovePlus
    this.createPlanet(planet2, star);
}
Is there a way to do something like this in Java? It would really help out.",Intermediate
43901726,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Why isn&#39;t there an Interface for something that provides a Stream&lt;E&gt;?,"In order to keep implementation details from leaking, instead of returning, e.g., a
Collection<MyCoolObject>
, one might implement
Iterable<MyCoolObject>
, which would then require implementing
Iterator<T>
from the
Iterable
Interface. Thus however the internal data structure is managed, the access to the elements is via the
Iterator
.
With Java 8, one might wish to add
Stream<MyCoolObject> stream()
to
MyCoolObject
. (See also: recommendation to support
stream
in the book
Java 8 Lambdas
). While adding the method isn't difficult (and I did read the Question about
Why Iterable Doesn't Provide Stream
), it seems odd that Java did not add an Interface for
Streamable<T>
to mirror the
Iterable<T>
idea. (Well, a different name perhaps since
Streamable
exists for the ever use CORBA stuff).
I think I followed the Answer about why adding
Stream
to
Iterable
was potentially problematic, but I do not see why a
Streaming<T>
interface couldn't have been provided. For example,
Collections
could have implemented the
Streaming<T>
interface, and it would make it clearer for other objects that one could expect a
stream()
method.
Based upon an Answer to the above referenced Question, it is possible to get a
Stream
from the
Iterable
via
Stream s = StreamSupport.stream(iter.spliterator(), false);
but that seems like a lot of work given that
MyObject
could would like to just implement
stream()
to allow a user of the object to do
myObject.stream().filter(...).collect(...)
without the intervening conversion from the iterator.
Is there a reason for the lack of an interface for streaming capable objects? Is there a better approach than just implementing
stream()
on MyCoolObject and letting someone look through the Javadoc so they know it has a
stream()
method?
Or, is quite likely, am I misunderstanding something about the approach for Stream?
(Also, I implement
stream()
in CoolObject, but then forget to implement
parallelStream()
, which is something that would be alleviated by having the interface).",Intermediate
43911369,Advanced,Advanced,Advanced,Advanced,Advanced,HashMap Java 8 implementation,"As per the following link document:
Java HashMap Implementation
I'm confused with the implementation of
HashMap
(or rather, an enhancement in
HashMap
). My queries are:
Firstly
static final int TREEIFY_THRESHOLD = 8;
static final int UNTREEIFY_THRESHOLD = 6;
static final int MIN_TREEIFY_CAPACITY = 64;
Why and how are these constants used?
I want some clear examples for this.
How they are achieving a performance gain with this?
Secondly
If you see the source code of
HashMap
in JDK, you will find the following static inner class:
static final class TreeNode<K, V> extends java.util.LinkedHashMap.Entry<K, V> {
    HashMap.TreeNode<K, V> parent;
    HashMap.TreeNode<K, V> left;
    HashMap.TreeNode<K, V> right;
    HashMap.TreeNode<K, V> prev;
    boolean red;

    TreeNode(int arg0, K arg1, V arg2, HashMap.Node<K, V> arg3) {
        super(arg0, arg1, arg2, arg3);
    }

    final HashMap.TreeNode<K, V> root() {
        HashMap.TreeNode arg0 = this;

        while (true) {
            HashMap.TreeNode arg1 = arg0.parent;
            if (arg0.parent == null) {
                return arg0;
            }

            arg0 = arg1;
        }
    }
    //...
}
How is it used?
I just want an explanation of the algorithm
.",Advanced
43916633,Basic,Basic,Basic,Basic,Basic,TreeSet giving incorrect output - Java8,"While working with a tree set, I found very peculiar behavior.
As per my understanding following program should print two identical lines:
public class TestSet {
    static void test(String... args) {
        Set<String> s = new TreeSet<String>(String.CASE_INSENSITIVE_ORDER);
        s.addAll(Arrays.asList(""a"", ""b""));
        s.removeAll(Arrays.asList(args));
        System.out.println(s);
    }

    public static void main(String[] args) {
        test(""A"");
        test(""A"", ""C"");
    }
}
but strangely it prints:
[b]
[a, b]
I am unable to understand - Why is tree set behaving like this?",Basic
