,Pred,Question No.,Question No.,L1,L2,L3,L4,Label,Title,Body,User_Reputation,Bronze_badge,Gold_badge,Silver_badge,Accept_rate,User Id,Accepted Answer ID,View Count,Answer Count,Score,Tags,Interval from first,Interval from accepted,Total count urls and imgs,Processed Body,Code Final,LOC,Question_Length
659,Intermediate,47492819,45571306,Intermediate,Advanced,Advanced,Intermediate,Intermediate,Java int memory usage,"While I was thinking over the memory usage of various types, I started to become a bit confused of how Java utilizes memory for integers when passed to a method.
Say, I had the following code:
public static void main (String[] args){
     int i = 4;
     addUp(i);
}

public static int addUp(int i){
     if(i == 0) return 0;
     else return addUp(i - 1);         
}
In this following example, I am wondering if my following logic was correct:
I have made a memory initially for integer i = 4. Then I pass it to a method. However, since primitives are not pointed in Java, in the addUp(i == 4), I create another integer i = 4. Then afterwards, there is another addUp(i == 3), addUp(i == 2), addUp(i == 1), addUp(i == 0) in which each time, since the value is not pointed, a new i value is allocated in the memory.
Then for a single ""int i"" value, I have used 6 integer value memories.
However, if I were to always pass it through an array:
public static void main (String[] args){
     int[] i = {4};
     // int tempI = i[0];
     addUp(i);
}

public static int addUp(int[] i){
     if(i[0] == 0) return 0;
     else return addUp(i[0] = i[0] - 1);         
}
- Since I create an integer array of size 1 and then pass that to addUp which will again be passed for addUp(i[0] == 3), addUp(i[0] == 2), addUp(i[0] == 1), addUp(i[0] == 0), I have only had to use 1 integer array memory space and hence far more cost efficient. In addition, if I were to make a int value beforehand to store the initial value of i[0], I still have my ""original"" value.
Then this leads me to the question, why do people pass primitives like int in Java methods? Isn't it far more memory efficient to just pass the array values of those primitives? Or is the first example somehow still just O(1) memory?
And on top of this question, I just wonder the memory differences of using int[] and int especially for a size of 1. Thank you in advance. I was simply wondering being more memory efficient with Java and this came to my head.
Thanks for all the answers! I'm just now quickly wondering if I were to ""analyze"" big-oh memory of each code, would they both be considered O(1) or would that be wrong to assume?",373,6,0,3,,8289839,45571489,5788,7,33,"[""java"", ""arrays"", ""memory"", ""jvm"", ""int""]",164,469,0,"While I was thinking over the memory usage of various types, I started to become a bit confused of how Java utilizes memory for integers when passed to a method. Say, I had the following code: In this following example, I am wondering if my following logic was correct: I have made a memory initially for integer i = 4. Then I pass it to a method. However, since primitives are not pointed in Java, in the addUp(i == 4), I create another integer i = 4. Then afterwards, there is another addUp(i == 3), addUp(i == 2), addUp(i == 1), addUp(i == 0) in which each time, since the value is not pointed, a new i value is allocated in the memory. Then for a single ""int i"" value, I have used 6 integer value memories. However, if I were to always pass it through an array: - Since I create an integer array of size 1 and then pass that to addUp which will again be passed for addUp(i[0] == 3), addUp(i[0] == 2), addUp(i[0] == 1), addUp(i[0] == 0), I have only had to use 1 integer array memory space and hence far more cost efficient. In addition, if I were to make a int value beforehand to store the initial value of i[0], I still have my ""original"" value. Then this leads me to the question, why do people pass primitives like int in Java methods? Isn't it far more memory efficient to just pass the array values of those primitives? Or is the first example somehow still just O(1) memory? And on top of this question, I just wonder the memory differences of using int[] and int especially for a size of 1. Thank you in advance. I was simply wondering being more memory efficient with Java and this came to my head. Thanks for all the answers! I'm just now quickly wondering if I were to ""analyze"" big-oh memory of each code, would they both be considered O(1) or would that be wrong to assume?","public static void main (String[] args){
     int i = 4;
     addUp(i);
}

public static int addUp(int i){
     if(i == 0) return 0;
     else return addUp(i - 1);         
}
 public static void main (String[] args){
     int[] i = {4};
     // int tempI = i[0];
     addUp(i);
}

public static int addUp(int[] i){
     if(i[0] == 0) return 0;
     else return addUp(i[0] = i[0] - 1);         
}
",17,57
660,Intermediate,11640025,45603817,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,,,,,,,,,,,,,0,0,0,,,,
661,Basic,15587818,45607219,Advanced,Advanced,Intermediate,Intermediate,Intermediate,Metabase Filters example,"I am using metabase integrated with Mysql for reporting purposes. I went through documentation but was unable to find any example explaining how to implement filters in SQL based questions.
The only example I found was regarding Date Range and Field Filters but not of Text and Numbers.
Can anyone provide documentation or any example on how to use Text filters.
I am using metabase version v0.24.2
The Query I am trying to run is this
SELECT  @a:=@a+1 ""Serial Number"", ssk_transaction.transactionId AS ""TranId"",   
t2.typeName AS ""Transaction Type"",  
ssk_transaction.createdTime AS ""GenDate"", t3.deviceName AS ""Machine Name"",  
 t3.deviceLocation AS ""Machine Location"", t9.eventApiName AS 'API Name' ,  
t8.vendorResultCode AS 'Last API Response',  
(SELECT createdTime FROM ssk_transaction_event_detail t4 WHERE t4.transactionId  
 = ssk_transaction.transactionId ORDER BY id DESC LIMIT 1) AS ""Last API Called"",  
(SELECT IFNULL(SUM(t5.itemName * t4.itemCount), 0) FROM  
 ssk_transaction_cash_detail t4  
LEFT JOIN ssk_inventory_item t5 ON (t4.itemId = t5.itemId)  
LEFT JOIN ssk_inventory_category t10 ON (t5.categoryId = t10.categoryId)  
WHERE t4.transactionId = ssk_transaction.transactionId AND t10.categoryName =   'acceptor') ""Cash In"",  
(SELECT IFNULL(SUM(t5.itemName * t4.itemCount), 0) FROM       ssk_transaction_cash_detail t4  
LEFT JOIN ssk_inventory_item t5 ON (t4.itemId = t5.itemId)  
LEFT JOIN ssk_inventory_category t10 ON (t5.categoryId = t10.categoryId)  
WHERE t4.transactionId = ssk_transaction.transactionId AND t10.categoryName =   'dispenser') ""Cash Returned"",  
IFNULL((SELECT ""Cash In""), 0) - IFNULL((SELECT ""Cash Returned""), 0) AS ""Amount   of Activity"",  
(SELECT t8.vendorResultCode FROM ssk_transaction_event_detail t8 WHERE       t8.transactionId = ssk_transaction.transactionId AND t8.eventId = 6 ORDER BY id       DESC LIMIT 1) AS ""Sim Status"",  
'Completed' AS ""Transaction Status"",  
ssk_transaction.customerMsisdn AS MSISDN,  
ssk_transaction.customerCNIC AS CNIC  
FROM  (SELECT @a:=0) initvars, ssk_transaction  
LEFT JOIN ssk_transaction_type t2 ON (ssk_transaction.typeId = t2.typeId)  
LEFT JOIN ssk_device t3 ON (ssk_transaction.deviceUUID = t3.deviceUUID)  
LEFT JOIN ssk_transaction_cash_detail t6 ON (ssk_transaction.transactionId =       t6.transactionId )  
LEFT JOIN ssk_inventory_item t7 ON (t6.itemId = t7.itemId)  
LEFT JOIN ssk_transaction_event_detail t8 ON (ssk_transaction.transactionId =   t8.transactionId AND t8.eventId = 10)  
LEFT JOIN ssk_transaction_event t9 ON (t9.eventId = t8.eventId)  
WHERE {{created_at}} AND {{id}} [[AND ssk_transaction.customerMsisdn=       {{msisdn}}]] AND {{cnic}} and  t2.typeId = 3 AND t8.eventId = 10 AND       t8.vendorResultCode = '405000000'  
GROUP BY ssk_transaction.transactionId  
ORDER BY ssk_transaction.createdTime ASC",1466,39,3,20,83,2819935,,5775,4,16,"[""java"", ""mysql"", ""metabase""]",661545,-1502350283,2,I am using metabase integrated with Mysql for reporting purposes. I went through documentation but was unable to find any example explaining how to implement filters in SQL based questions. The only example I found was regarding Date Range and Field Filters but not of Text and Numbers. Can anyone provide documentation or any example on how to use Text filters. I am using metabase version v0.24.2 The Query I am trying to run is this," SELECT  @a:=@a+1 ""Serial Number"", ssk_transaction.transactionId AS ""TranId"",   
t2.typeName AS ""Transaction Type"",  
ssk_transaction.createdTime AS ""GenDate"", t3.deviceName AS ""Machine Name"",  
 t3.deviceLocation AS ""Machine Location"", t9.eventApiName AS 'API Name' ,  
t8.vendorResultCode AS 'Last API Response',  
(SELECT createdTime FROM ssk_transaction_event_detail t4 WHERE t4.transactionId  
 = ssk_transaction.transactionId ORDER BY id DESC LIMIT 1) AS ""Last API Called"",  
(SELECT IFNULL(SUM(t5.itemName * t4.itemCount), 0) FROM  
 ssk_transaction_cash_detail t4  
LEFT JOIN ssk_inventory_item t5 ON (t4.itemId = t5.itemId)  
LEFT JOIN ssk_inventory_category t10 ON (t5.categoryId = t10.categoryId)  
WHERE t4.transactionId = ssk_transaction.transactionId AND t10.categoryName =   'acceptor') ""Cash In"",  
(SELECT IFNULL(SUM(t5.itemName * t4.itemCount), 0) FROM       ssk_transaction_cash_detail t4  
LEFT JOIN ssk_inventory_item t5 ON (t4.itemId = t5.itemId)  
LEFT JOIN ssk_inventory_category t10 ON (t5.categoryId = t10.categoryId)  
WHERE t4.transactionId = ssk_transaction.transactionId AND t10.categoryName =   'dispenser') ""Cash Returned"",  
IFNULL((SELECT ""Cash In""), 0) - IFNULL((SELECT ""Cash Returned""), 0) AS ""Amount   of Activity"",  
(SELECT t8.vendorResultCode FROM ssk_transaction_event_detail t8 WHERE       t8.transactionId = ssk_transaction.transactionId AND t8.eventId = 6 ORDER BY id       DESC LIMIT 1) AS ""Sim Status"",  
'Completed' AS ""Transaction Status"",  
ssk_transaction.customerMsisdn AS MSISDN,  
ssk_transaction.customerCNIC AS CNIC  
FROM  (SELECT @a:=0) initvars, ssk_transaction  
LEFT JOIN ssk_transaction_type t2 ON (ssk_transaction.typeId = t2.typeId)  
LEFT JOIN ssk_device t3 ON (ssk_transaction.deviceUUID = t3.deviceUUID)  
LEFT JOIN ssk_transaction_cash_detail t6 ON (ssk_transaction.transactionId =       t6.transactionId )  
LEFT JOIN ssk_inventory_item t7 ON (t6.itemId = t7.itemId)  
LEFT JOIN ssk_transaction_event_detail t8 ON (ssk_transaction.transactionId =   t8.transactionId AND t8.eventId = 10)  
LEFT JOIN ssk_transaction_event t9 ON (t9.eventId = t8.eventId)  
WHERE {{created_at}} AND {{id}} [[AND ssk_transaction.customerMsisdn=       {{msisdn}}]] AND {{cnic}} and  t2.typeId = 3 AND t8.eventId = 10 AND       t8.vendorResultCode = '405000000'  
GROUP BY ssk_transaction.transactionId  
ORDER BY ssk_transaction.createdTime ASC  
",30,56
662,Intermediate,5464330,45624307,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,How to validate that a Java 8 Stream has two specific elements in it?,"Let's say I have
List<Car>
and I want to search through that list to verify that I have both a Civic AND a Focus. If it's an OR it's very easy in that I can just apply an OR on the
.filter()
. Keep in mind that I can't do
filter().filter()
for this type of AND.
A working solution would be to do:
boolean hasCivic = reportElements.stream()
        .filter(car -> ""Civic"".equals(car.getModel()))
        .findFirst()
        .isPresent();

boolean hasFocus = reportElements.stream()
        .filter(car -> ""Focus"".equals(car.getModel()))
        .findFirst()
        .isPresent();

return hasCivic && hasFocus;
But then I'm basically processing the list twice. I can't apply an
&&
in the filter nor can I do
filter().filter()
.
Is there a way to process the stream once to find if the list contains both a Civic and a Focus car?
IMPORTANT UPDATE:
The key problem with the solutions provided is that they all guarantee O(n) whereas my solution could be done after just two comparisons. If my list of cars is say 10 million cars then there would be a very significant performance cost. My solution however doesn't feel right, but maybe it is the best solution performance wise...",15677,201,38,118,80,39371,45624381,14767,3,19,"[""java"", ""java-8"", ""java-stream""]",276,354,0,"Let's say I have and I want to search through that list to verify that I have both a Civic AND a Focus. If it's an OR it's very easy in that I can just apply an OR on the . Keep in mind that I can't do for this type of AND. A working solution would be to do: But then I'm basically processing the list twice. I can't apply an in the filter nor can I do . Is there a way to process the stream once to find if the list contains both a Civic and a Focus car? IMPORTANT UPDATE: The key problem with the solutions provided is that they all guarantee O(n) whereas my solution could be done after just two comparisons. If my list of cars is say 10 million cars then there would be a very significant performance cost. My solution however doesn't feel right, but maybe it is the best solution performance wise...","
   List&lt;Car&gt;
   
   .filter()
   
   filter().filter()
   boolean hasCivic = reportElements.stream()
        .filter(car -&gt; ""Civic"".equals(car.getModel()))
        .findFirst()
        .isPresent();

boolean hasFocus = reportElements.stream()
        .filter(car -&gt; ""Focus"".equals(car.getModel()))
        .findFirst()
        .isPresent();

return hasCivic &amp;&amp; hasFocus;
 
   &amp;&amp;
   
   filter().filter()
  ",15,52
663,Intermediate,13157584,45632920,Basic,Basic,Basic,Basic,Basic,Why should one use Objects.requireNonNull()?,"I have noted that many Java 8 methods in Oracle JDK use
Objects.requireNonNull()
, which internally throws
NullPointerException
if the given object (argument) is
null
.
public static <T> T requireNonNull(T obj) {
    if (obj == null)
        throw new NullPointerException();
    return obj;
}
But
NullPointerException
will be thrown anyway if a
null
object is dereferenced. So, why should one do this extra null check and throw
NullPointerException
?
One obvious answer (or benefit) is that it makes code more readable and I agree. I'm keen to know any other reasons for using
Objects.requireNonNull()
in the beginning of the method.",4621,7,2,12,,4686046,45632962,225811,13,451,"[""java"", ""java-8"", ""nullpointerexception""]",99,99,0,"I have noted that many Java 8 methods in Oracle JDK use , which internally throws if the given object (argument) is . But will be thrown anyway if a object is dereferenced. So, why should one do this extra null check and throw ? One obvious answer (or benefit) is that it makes code more readable and I agree. I'm keen to know any other reasons for using in the beginning of the method.","
   Objects.requireNonNull()
   
   NullPointerException
   
   null
   public static &lt;T&gt; T requireNonNull(T obj) {
    if (obj == null)
        throw new NullPointerException();
    return obj;
}
 
   NullPointerException
   
   null
   
   NullPointerException
   
   Objects.requireNonNull()
  ",11,45
664,Basic,59219636,45657985,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,When is a Java 8 Stream considered to be consumed?,"My understanding was that a Java 8
Stream
is considered to be consumed once a terminal operation, such as
forEach()
or
count()
, is performed.
However, the test case
multipleFilters_separate
below throws an
IllegalStateException
even though
filter
is a lazy intermediate operation, just called as two statements. And yet, I can chain the two filter operations into a single statement and it works.
@Test(expected=IllegalStateException.class)
public void multipleFilters_separate() {
    Stream<Double> ints = Stream.of(1.1, 2.2, 3.3);
    ints.filter(d -> d > 1.3);
    ints.filter(d -> d > 2.3).forEach(System.out::println);
}

@Test
public void multipleFilters_piped() {
    Stream<Double> ints = Stream.of(1.1, 2.2, 3.3);
    ints.filter(d -> d > 1.3)
        .filter(d -> d > 2.3)
        .forEach(System.out::println);
}
From this, I'm assuming a
Stream
is considered to be consumed after the first statement that uses it whether that statement calls a terminal operation or not. Does that sound right?",3451,41,10,33,83,751621,45658003,4704,2,20,"[""java"", ""java-8"", ""java-stream""]",211,211,0,"My understanding was that a Java 8 is considered to be consumed once a terminal operation, such as or , is performed. However, the test case below throws an even though is a lazy intermediate operation, just called as two statements. And yet, I can chain the two filter operations into a single statement and it works. From this, I'm assuming a is considered to be consumed after the first statement that uses it whether that statement calls a terminal operation or not. Does that sound right?","
   Stream
   
   forEach()
   
   count()
   
   multipleFilters_separate
   
   IllegalStateException
   
   filter
   @Test(expected=IllegalStateException.class)
public void multipleFilters_separate() {
    Stream&lt;Double&gt; ints = Stream.of(1.1, 2.2, 3.3);
    ints.filter(d -&gt; d &gt; 1.3);
    ints.filter(d -&gt; d &gt; 2.3).forEach(System.out::println);
}

@Test
public void multipleFilters_piped() {
    Stream&lt;Double&gt; ints = Stream.of(1.1, 2.2, 3.3);
    ints.filter(d -&gt; d &gt; 1.3)
        .filter(d -&gt; d &gt; 2.3)
        .forEach(System.out::println);
}
 
   Stream
  ",20,54
665,Basic,9105358,45669064,Basic,Basic,Basic,Basic,Basic,"Create immutable object, instantiated without new","This question already has answers here
:
Operator overloading in Java
(11 answers)
Closed
6 years ago
.
Can I create a class that instantiates with just the
=
operator, like the
String
class does? Or is that a feature specific to
String
class in Java?",179,4,0,0,,8460677,45669316,2021,3,16,"[""java"", ""string"", ""object"", ""instance""]",318,988,0,"This question already has answers here : Operator overloading in Java (11 answers) Closed 6 years ago . Can I create a class that instantiates with just the operator, like the class does? Or is that a feature specific to class in Java?","
   =
   
   String
   
   String
  ",3,50
666,Intermediate,15382347,45671351,Basic,Basic,Basic,Basic,Basic,java 8 sum all values of two int arrays with each other,"int[] ar1 = {1,2,3};
int[] ar2 = {1,2,3};
Output:
{2,3,4,3,4,5,4,5,6}
I tried something like this:
IntStream.range(0,ar1.length).map(x -> IntStream.range(0,ar2.length).map(y -> ar1[y]+ar2[x]));
but this does not work:
Type mismatch: cannot convert from
IntStream
to
int
.
How can I sum every value of
ar1
with every value of
ar2
in Java 8 using streams?",200,7,0,1,,8461320,45671421,3849,3,16,"[""java"", ""java-8"", ""java-stream""]",240,240,0,Output: I tried something like this: but this does not work: Type mismatch: cannot convert from to . How can I sum every value of with every value of in Java 8 using streams?,"int[] ar1 = {1,2,3};
int[] ar2 = {1,2,3};
 {2,3,4,3,4,5,4,5,6}
 IntStream.range(0,ar1.length).map(x -&gt; IntStream.range(0,ar2.length).map(y -&gt; ar1[y]+ar2[x]));
 
    IntStream
    
    int
    
   ar1
   
   ar2
  ",5,42
667,Advanced,16152311,45675002,Advanced,Advanced,Advanced,Advanced,Advanced,How to see org.codehaus.jackson log messages - using logging.properties,"I am trying to deserialize incoming
PUT
request with JSON request body using
org.codehaus.jackson
package and I am receiving error message
The request sent by the client was syntactically incorrect
. How can I get more detailed log/error messages in my Pivotal TC server logs, e.g. in
catalina.log
?
I have added the following line to logging.properties:
org.codehaus.level = FINEST
But
NO
messages from
org.codehaus
is displayed in my log, although the error message is displayed on web page. Maybe
codehaus
does not support Java logging and I should configure J4Log or similar another logging facility?
My
Jackson version is 1.9.13
, I am using Pivotal tc server from
Spring Tools Suite (3.8)
.",2856,100,6,39,32,1375882,45744329,6556,2,15,"[""java"", ""jackson"", ""java.util.logging"", ""tcserver""]",286013,286013,0,"I am trying to deserialize incoming PUT request with JSON request body using package and I am receiving error message . How can I get more detailed log/error messages in my Pivotal TC server logs, e.g. in ? I have added the following line to logging.properties: But NO messages from is displayed in my log, although the error message is displayed on web page. Maybe does not support Java logging and I should configure J4Log or similar another logging facility? My Jackson version is 1.9.13 , I am using Pivotal tc server from Spring Tools Suite (3.8) .","
   org.codehaus.jackson
   
   The request sent by the client was syntactically incorrect
   
   catalina.log
   org.codehaus.level = FINEST
 
   org.codehaus
   
   codehaus
  ",5,58
668,Basic,6081670,45706608,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,How to use a method reference on a static import?,"When using map functions in java I can do the following:
import com.example.MyClass;

someStream.map(MyClass::myStaticMethod)
but in my project we sometimes use static imports, how can I reference the myStaticMethod when the import is static?
I would think this would work but it doesn't:
import static com.example.MyClass.myStaticMethod;

someStream.map(myStaticMethod); //does not compile
Why does this not work? Am I 'stuck' with using the first example or are there other solutions.",2030,40,1,26,65,988324,45706694,2751,4,31,"[""java"", ""lambda"", ""java-8"", ""method-reference""]",289,289,0,"When using map functions in java I can do the following: but in my project we sometimes use static imports, how can I reference the myStaticMethod when the import is static? I would think this would work but it doesn't: Why does this not work? Am I 'stuck' with using the first example or are there other solutions.","import com.example.MyClass;

someStream.map(MyClass::myStaticMethod)
 import static com.example.MyClass.myStaticMethod;

someStream.map(myStaticMethod); //does not compile
",4,22
669,Intermediate,21375659,45710056,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Why is runnable callbacks destroying activity automatically?,"I wanted to know if there is a possibility that we could handle/detect runnable callbacks with delay (
postDelayed
method) on android?
For example, I have one or several splashscreen (which runs with
handler.postDelayed(new Runnable()...
) on my application (application for testing purpose). In this application I have also a library (that I am creating and using it in the application) and some classes that are available there which runs on an
IntentService
class.
Sometimes, when the application is running those
splashscreen
Activities (for
Testing purpose
), the library that I am creating, might popup some activities automatically in the UI.
But it appears that if those activities comes on a
splashscreen
activity and that the
splashscreen
is being destroyed, those activities (that popup automatically) will also be destroyed and logging a
""leaked window""
message in the logcat.
The problem is that :
those activities that appears automatically in the UI should not be
closed automatically, this is prohibited. It needs an interaction
from the user for closing that activity and returns to the normal behaviour of the application.
Also, the library doesn't know anything about the UI of the application.
So my questions are (relatively to the library side that I am creating without having informations to the flow of the UI application):
Is there a way to detect if some
postDelayed
method was created in the application relatively to the Library side ? If yes, how could I handle the problem ?
P.S.:
Notice that normally, I am using a Dialog for the suppose Activity who is appearing automatically.
UPDATE
Explanation of the diagram :
Right now I have a case that a
Splashscreen
is being executed.
The class which extends the IntentService class, has received a Request from internet which will start an
Activity
.
Meanwhile the splashscreen is on
postdelayed
, the other
Activity
has been created and is showing in the UI. When X seconds has passed and the other
Activity
hasn't been destroyed, the
Next Activity
is created and destroy the other
Activity
automatically. In doing that, Android throws a ""leaked window"" message relatively to the
Activity
.",1373,46,4,26,86,2395542,,1360,8,17,"[""java"", ""android"", ""android-activity"", ""android-handler"", ""android-looper""]",181383,-1502876219,2,"I wanted to know if there is a possibility that we could handle/detect runnable callbacks with delay ( method) on android? For example, I have one or several splashscreen (which runs with ) on my application (application for testing purpose). In this application I have also a library (that I am creating and using it in the application) and some classes that are available there which runs on an class. Sometimes, when the application is running those Activities (for ), the library that I am creating, might popup some activities automatically in the UI. But it appears that if those activities comes on a activity and that the is being destroyed, those activities (that popup automatically) will also be destroyed and logging a ""leaked window"" message in the logcat. The problem is that : those activities that appears automatically in the UI should not be closed automatically, this is prohibited. It needs an interaction from the user for closing that activity and returns to the normal behaviour of the application. Also, the library doesn't know anything about the UI of the application. So my questions are (relatively to the library side that I am creating without having informations to the flow of the UI application): Is there a way to detect if some postDelayed method was created in the application relatively to the Library side ? If yes, how could I handle the problem ? P.S.: Notice that normally, I am using a Dialog for the suppose Activity who is appearing automatically. UPDATE Explanation of the diagram : Right now I have a case that a Splashscreen is being executed. The class which extends the IntentService class, has received a Request from internet which will start an Activity . Meanwhile the splashscreen is on , the other Activity has been created and is showing in the UI. When X seconds has passed and the other Activity hasn't been destroyed, the Next Activity is created and destroy the other Activity automatically. In doing that, Android throws a ""leaked window"" message relatively to the Activity .","
   postDelayed
   
   handler.postDelayed(new Runnable()...
   
   IntentService
   
   splashscreen
   
   Testing purpose
   
   splashscreen
   
   splashscreen
   
   postdelayed
  ",8,129
670,Basic,9378394,45749081,Advanced,Advanced,Advanced,Advanced,Advanced,Proxy password containing `@` in JVM,"I have some Scala code that has managed to successfully negotiate the (NTLM) proxy and access the internet, specifying the username and password as so:
// Based upon http://rolandtapken.de/blog/2012-04/java-process-httpproxyuser-and-httpproxypassword
Authenticator.setDefault(new Authenticator() {

  override protected def getPasswordAuthentication: PasswordAuthentication = {

    if (getRequestorType eq RequestorType.PROXY) {
      val prot = getRequestingProtocol.toLowerCase

      // This allows us to only return a PasswordAuthentication when we have
      // all four of the host, port, user and password _and_ the host and
      // port match the actual proxy wanting authentication.
      for {
        host <- Option(System.getProperty(prot + "".proxyHost""))
        if getRequestingHost.equalsIgnoreCase(host)
        port <- Try(augmentString(System.getProperty(prot + "".proxyPort"")).toInt).toOption
        if port == getRequestingPort
        user <- Option(System.getProperty(prot + "".proxyUser""))
        pass <- Option(System.getProperty(prot + "".proxyPassword""))
      } yield return new PasswordAuthentication(user, pass.toCharArray)
    }

    // One of the if-statements failed.  No authentication for you!
    null
  }
})
However, I've now been given a new system username/password combination to use, and the password contains an
@
in it.  I've tried using the password directly, escaping it (with both
\
and
\\
in case a double-level of escaping was needed), url-encoding it (i.e. replacing
@
with
%40
) and even HTML-encoding (
&commat;
and
&#64;
) to no avail.
I know the password works, as it's used on other systems for non-JVM applications to access the internet by setting the
http_proxy
variable, but it doesn't work here.
Any ideas?
EDIT
To try and clear some things up, I've tried simplifying my code to this:
Authenticator.setDefault(new Authenticator() {

  def urlEncode(str: String): String = {
    val res = URLEncoder.encode(str, ""UTF-8"")
    // To confirm it's working
    println(s""${str} -> ${res}"")
    res
  }

  override protected def getPasswordAuthentication: PasswordAuthentication = {

    if (getRequestorType eq RequestorType.PROXY) {

      return new PasswordAuthentication(urlEncode(""username""), urlEncode(""p@ssword"").toCharArray);
    }
    null
  }

})
The environment that this is being run in is in a Spark cluster (run with
spark-submit
) on a Linux box.  The proxy is a corporate NTLM one.
If I use known a username and password combination that doesn't contain
@
then this works.  If I change it to one containing an
@
then it fails.
I've tried making
val res = str
inside the
urlEncode
function (in case it doesn't need to be URL encoded), tried having
\\@
(with and without URL encoding) and
^@
(with and without URL encoding).  Every single time I get an exception of
Unable to tunnel through proxy. Proxy returns ""HTTP/1.1 407 Proxy Authorization Required""
.
I know that the username and password are valid as they are currently set in the
https_proxy
variable that is successfully used by curl, etc.
So unless the fact that the proxy is being set within a running Spark server somehow affects what happens to it, it appears to me that the JVM libraries do not support having
@
in the authenticator for proxies (at the very least).",3927,29,0,22,,380816,,1709,1,13,"[""java"", ""scala"", ""proxy"", ""jvm""]",290111,-1503034005,0,"I have some Scala code that has managed to successfully negotiate the (NTLM) proxy and access the internet, specifying the username and password as so: However, I've now been given a new system username/password combination to use, and the password contains an in it. I've tried using the password directly, escaping it (with both and in case a double-level of escaping was needed), url-encoding it (i.e. replacing with ) and even HTML-encoding ( and ) to no avail. I know the password works, as it's used on other systems for non-JVM applications to access the internet by setting the variable, but it doesn't work here. Any ideas? EDIT To try and clear some things up, I've tried simplifying my code to this: The environment that this is being run in is in a Spark cluster (run with ) on a Linux box. The proxy is a corporate NTLM one. If I use known a username and password combination that doesn't contain then this works. If I change it to one containing an then it fails. I've tried making inside the function (in case it doesn't need to be URL encoded), tried having (with and without URL encoding) and (with and without URL encoding). Every single time I get an exception of . I know that the username and password are valid as they are currently set in the variable that is successfully used by curl, etc. So unless the fact that the proxy is being set within a running Spark server somehow affects what happens to it, it appears to me that the JVM libraries do not support having in the authenticator for proxies (at the very least).","// Based upon http://rolandtapken.de/blog/2012-04/java-process-httpproxyuser-and-httpproxypassword
Authenticator.setDefault(new Authenticator() {

  override protected def getPasswordAuthentication: PasswordAuthentication = {

    if (getRequestorType eq RequestorType.PROXY) {
      val prot = getRequestingProtocol.toLowerCase

      // This allows us to only return a PasswordAuthentication when we have
      // all four of the host, port, user and password _and_ the host and
      // port match the actual proxy wanting authentication.
      for {
        host &lt;- Option(System.getProperty(prot + "".proxyHost""))
        if getRequestingHost.equalsIgnoreCase(host)
        port &lt;- Try(augmentString(System.getProperty(prot + "".proxyPort"")).toInt).toOption
        if port == getRequestingPort
        user &lt;- Option(System.getProperty(prot + "".proxyUser""))
        pass &lt;- Option(System.getProperty(prot + "".proxyPassword""))
      } yield return new PasswordAuthentication(user, pass.toCharArray)
    }

    // One of the if-statements failed.  No authentication for you!
    null
  }
})
 
   @
   
   \
   
   \\
   
   @
   
   %40
   
   &amp;commat;
   
   &amp;#64;
   
   http_proxy
   Authenticator.setDefault(new Authenticator() {

  def urlEncode(str: String): String = {
    val res = URLEncoder.encode(str, ""UTF-8"")
    // To confirm it's working
    println(s""${str} -&gt; ${res}"")
    res
  }

  override protected def getPasswordAuthentication: PasswordAuthentication = {

    if (getRequestorType eq RequestorType.PROXY) {

      return new PasswordAuthentication(urlEncode(""username""), urlEncode(""p@ssword"").toCharArray);
    }
    null
  }

})
 
   spark-submit
   
   @
   
   @
   
   val res = str
   
   urlEncode
   
   \\@
   
   ^@
   
   Unable to tunnel through proxy. Proxy returns ""HTTP/1.1 407 Proxy Authorization Required""
   
   https_proxy
   
   @
  ",60,154
671,Basic,3640254,45752408,Intermediate,Intermediate,Basic,Basic,Intermediate,Is there any way to detect month change in android calendar view(i.e. when user changes calendar to another month),"I want to get month shown in calendar view and i cant figure it out. i tried
calendarView.setOnDateChangeListener(new CalendarView.OnDateChangeListener() {

        @Override
        public void onSelectedDayChange(CalendarView view, int year, int month,
                                        int dayOfMonth) {
            int d = dayOfMonth;
            int m = month;
            Log.d(""month"", """" + m);
            String curDate = String.valueOf(d);

        }
});
but it only triggers when user click to the days of month. What i want is when user changes the month i want the changed month(i.e. the month shown in calendar view.)
Any help would be appreciated. Thanks in advance.",1200,16,0,11,75,7087089,45790387,3715,1,15,"[""java"", ""android"", ""android-calendar"", ""calendarview""]",250116,250116,0,I want to get month shown in calendar view and i cant figure it out. i tried but it only triggers when user click to the days of month. What i want is when user changes the month i want the changed month(i.e. the month shown in calendar view.) Any help would be appreciated. Thanks in advance.,"calendarView.setOnDateChangeListener(new CalendarView.OnDateChangeListener() {

        @Override
        public void onSelectedDayChange(CalendarView view, int year, int month,
                                        int dayOfMonth) {
            int d = dayOfMonth;
            int m = month;
            Log.d(""month"", """" + m);
            String curDate = String.valueOf(d);

        }
});
",11,22
